case_id,group,repeat,test_outcome,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,case_wall_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend,audit_max_residual_m,checks
circle_boundary_inside,coverage_boundary,1,PASS,halfplanes,,,3,3,6.255099999179947,683.60070000017,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,
circle_boundary_on,coverage_boundary,1,PASS,halfplanes,,,3,3,5.66880000042147,588.9896000007866,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,
circle_boundary_outside_within_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,5.4572000008192845,642.0471000001271,POLYGON,3,2.0,1.0,1.0000005,5.00000000069889e-07,True,scipy_highs_with_fraction_check,0.0,
circle_boundary_outside_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,5.25279999965278,573.691499999768,POLYGON,3,2.0,1.0,1.00005,5.0000000000105516e-05,False,scipy_highs_with_fraction_check,0.0,
thin_rectangle_0.001,degeneracy,1,PASS,halfplanes,,,4,4,5.802399999083718,619.6462999996584,POLYGON,4,1.000000499999875,0.5000002499999375,0.5000002499999375,0.0,True,scipy_highs_with_fraction_check,0.0,
thin_rectangle_1e-07,degeneracy,1,PASS,halfplanes,,,4,4,5.4865999991307035,559.0795000007347,POLYGON,4,1.000000000000005,0.5000000000000026,0.5000000000000026,0.0,True,scipy_highs_with_fraction_check,0.0,
thin_rectangle_1e-10,degeneracy,1,PASS,halfplanes,,,4,4,5.295899998600362,659.1646000015317,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,
thin_rectangle_1e-12,degeneracy,1,PASS,halfplanes,,,4,4,5.823400000736001,556.8509000004269,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,
exact_segment,degeneracy,1,PASS,halfplanes,,,4,4,5.490900000950205,613.1510000013805,SEGMENT,2,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,
exact_point,degeneracy,1,PASS,halfplanes,,,4,4,5.258400000457186,499.9389999993582,POINT,1,0.0,0.0,0.0,0.0,True,scipy_highs_with_fraction_check,0.0,
almost_infeasible_0.001,feasibility_boundary,1,PASS,halfplanes,,,2,2,3.274500000770786,591.7294000009861,EMPTY,0,,,,,,scipy_highs_with_fraction_check,,
almost_infeasible_1e-08,feasibility_boundary,1,PASS,halfplanes,,,2,2,3.264000000854139,559.8807999995188,EMPTY,0,,,,,,scipy_highs_with_fraction_check,,
almost_infeasible_1e-12,feasibility_boundary,1,WARN,halfplanes,,,2,2,4.817400000320049,547.3595000003115,NUMERICAL_ISSUE,0,,,,,,scipy_highs_with_fraction_check,,未给出几何答案：病态数据触发数值异常，请查看diagnostics
parallel_strip,parallel,1,PASS,halfplanes,,,2,2,3.999800001110998,572.335099999691,UNBOUNDED,0,Infinity,,,,,scipy_highs_with_fraction_check,,
near_parallel_1e-06,parallel,1,PASS,halfplanes,,,3,3,6.3706000000820495,621.1425000001327,POLYGON,3,1000000.0000005,500000.00000025,500000.00000025,0.0,True,scipy_highs_with_fraction_check,0.0,
near_parallel_1e-10,parallel,1,WARN,halfplanes,,,3,3,4.670000000260188,568.9142000010179,NUMERICAL_ISSUE,0,,,,,,scipy_highs_with_fraction_check,,未给出几何答案：病态数据触发数值异常，请查看diagnostics
near_parallel_1e-12,parallel,1,WARN,halfplanes,,,3,3,4.448499999853084,557.092000000921,NUMERICAL_ISSUE,0,,,,,,scipy_highs_with_fraction_check,,未给出几何答案：病态数据触发数值异常，请查看diagnostics
translation_0,coordinate_scale,1,PASS,observations,2,2,4,4,5.609100000583567,584.2150000007678,POLYGON,4,39.50834065898743,19.754170329493714,19.754170329493714,0.0,True,scipy_highs_with_fraction_check,1.7763568394002505e-15,
translation_1e+06,coordinate_scale,1,PASS,observations,2,2,4,4,5.947800000285497,578.193100000135,POLYGON,4,39.50834065888242,19.75417032944121,19.754170329529156,8.79474271187064e-11,True,scipy_highs_with_fraction_check,0.0,
translation_1e+09,coordinate_scale,1,PASS,observations,2,2,4,4,5.98100000024715,574.8722000007547,POLYGON,4,39.50834073321563,19.754170366607816,19.754170430982995,6.437517896529243e-08,True,scipy_highs_with_fraction_check,1.1920928955078125e-07,
angle_wrap,bearing_boundary,1,PASS,observations,2,2,4,4,6.102699999246397,599.5382999990397,POLYGON,4,39.50834065898743,19.754170329493714,19.754170329493714,0.0,True,scipy_highs_with_fraction_check,1.7763568394002505e-15,
configured_error_1e-08,bearing_boundary,1,PASS,observations,2,2,4,4,6.04870000097435,576.992500000415,POLYGON,4,3.949228231068632e-07,1.974614115534316e-07,1.974614115534316e-07,0.0,True,scipy_highs_with_fraction_check,0.0,
configured_error_89.999999,bearing_boundary,1,PASS,observations,2,2,4,4,4.398000000946922,582.7934000008099,UNBOUNDED,0,Infinity,,,,,scipy_highs_with_fraction_check,,
