case_id,group,repeat,test_outcome,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,case_wall_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend,audit_max_residual_m,checks
circle_boundary_inside,coverage_boundary,1,PASS,halfplanes,,,3,3,11.567800000193529,775.666800000181,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,
circle_boundary_on,coverage_boundary,1,PASS,halfplanes,,,3,3,5.286900001010508,576.6665999999532,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,
circle_boundary_outside_within_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,5.225099999734084,624.1124999996828,POLYGON,3,2.0,1.0,1.0000005,5.00000000069889e-07,True,scipy_highs_with_fraction_check,0.0,
circle_boundary_outside_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,6.01499999902444,581.5466000003653,POLYGON,3,2.0,1.0,1.00005,5.0000000000105516e-05,False,scipy_highs_with_fraction_check,0.0,
thin_rectangle_0.001,degeneracy,1,PASS,halfplanes,,,4,4,5.538599998544669,580.1270000010845,POLYGON,4,1.000000499999875,0.5000002499999375,0.5000002499999375,0.0,True,scipy_highs_with_fraction_check,0.0,
thin_rectangle_1e-07,degeneracy,1,PASS,halfplanes,,,4,4,5.439300000944058,558.7879000013345,POLYGON,4,1.000000000000005,0.5000000000000026,0.5000000000000026,0.0,True,scipy_highs_with_fraction_check,0.0,
thin_rectangle_1e-10,degeneracy,1,PASS,halfplanes,,,4,4,4.945500000758329,616.0328000005393,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,
thin_rectangle_1e-12,degeneracy,1,PASS,halfplanes,,,4,4,5.759899999247864,542.9764000000432,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,
exact_segment,degeneracy,1,PASS,halfplanes,,,4,4,5.691000000297208,542.4206999996386,SEGMENT,2,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,
exact_point,degeneracy,1,PASS,halfplanes,,,4,4,4.916699999739649,522.456599999714,POINT,1,0.0,0.0,0.0,0.0,True,scipy_highs_with_fraction_check,0.0,
almost_infeasible_0.001,feasibility_boundary,1,PASS,halfplanes,,,2,2,3.218399999241228,657.6955000000453,EMPTY,0,,,,,,scipy_highs_with_fraction_check,,
almost_infeasible_1e-08,feasibility_boundary,1,PASS,halfplanes,,,2,2,3.661499998997897,643.5786000001826,EMPTY,0,,,,,,scipy_highs_with_fraction_check,,
almost_infeasible_1e-12,feasibility_boundary,1,WARN,halfplanes,,,2,2,8.222399999795016,586.7500999993354,NUMERICAL_ISSUE,0,,,,,,scipy_highs_with_fraction_check,,未给出几何答案：病态数据触发数值异常，请查看diagnostics
parallel_strip,parallel,1,PASS,halfplanes,,,2,2,3.443600000537117,743.8593000006222,UNBOUNDED,0,Infinity,,,,,scipy_highs_with_fraction_check,,
near_parallel_1e-06,parallel,1,PASS,halfplanes,,,3,3,5.36649999958172,546.2067999997089,POLYGON,3,1000000.0000005,500000.00000025,500000.00000025,0.0,True,scipy_highs_with_fraction_check,0.0,
near_parallel_1e-10,parallel,1,WARN,halfplanes,,,3,3,4.220799999529845,565.5859999988024,NUMERICAL_ISSUE,0,,,,,,scipy_highs_with_fraction_check,,未给出几何答案：病态数据触发数值异常，请查看diagnostics
near_parallel_1e-12,parallel,1,WARN,halfplanes,,,3,3,4.027099999802886,606.1110999999073,NUMERICAL_ISSUE,0,,,,,,scipy_highs_with_fraction_check,,未给出几何答案：病态数据触发数值异常，请查看diagnostics
translation_0,coordinate_scale,1,PASS,observations,2,2,4,4,5.594100000962499,548.3852999986993,POLYGON,4,39.50834065898743,19.754170329493714,19.754170329493714,0.0,True,scipy_highs_with_fraction_check,1.7763568394002505e-15,
translation_1e+06,coordinate_scale,1,PASS,observations,2,2,4,4,6.328900000880822,576.2403999997332,POLYGON,4,39.50834065888242,19.75417032944121,19.754170329529156,8.79474271187064e-11,True,scipy_highs_with_fraction_check,0.0,
translation_1e+09,coordinate_scale,1,PASS,observations,2,2,4,4,5.583800000749761,591.6421000001719,POLYGON,4,39.50834073321563,19.754170366607816,19.754170430982995,6.437517896529243e-08,True,scipy_highs_with_fraction_check,1.1920928955078125e-07,
angle_wrap,bearing_boundary,1,PASS,observations,2,2,4,4,6.507100000817445,588.4540999995806,POLYGON,4,39.50834065898743,19.754170329493714,19.754170329493714,0.0,True,scipy_highs_with_fraction_check,1.7763568394002505e-15,
configured_error_1e-08,bearing_boundary,1,PASS,observations,2,2,4,4,5.763799999840558,699.0413999992597,POLYGON,4,3.949228231068632e-07,1.974614115534316e-07,1.974614115534316e-07,0.0,True,scipy_highs_with_fraction_check,0.0,
configured_error_90,bearing_boundary,1,FAIL,observations,2,2,4,4,4.815200001758058,585.4094000005716,UNBOUNDED,0,Infinity,,,,,scipy_highs_with_fraction_check,,期望状态POLYGON，实际UNBOUNDED
bearing_error_exact_limit,bearing_boundary,1,PASS,observations,2,2,4,4,5.896699998629629,657.2387999985949,POLYGON,4,40.937924483340744,20.468962241670372,20.468962241670372,0.0,True,scipy_highs_with_fraction_check,3.552713678800501e-15,
distinct_points_10,distinct_scale,1,PASS,observations,10,10,20,20,21.04220000001078,579.7007000001031,POLYGON,6,25.30502823470042,12.65251411735021,12.652514117350211,1.7763568394002505e-15,True,scipy_highs_with_fraction_check,1.7763568394002505e-15,
distinct_points_30,distinct_scale,1,PASS,observations,30,30,60,60,196.22750000053202,911.5383999996993,POLYGON,6,14.772540287120963,7.386270143560481,7.386270143560481,0.0,True,scipy_highs_with_fraction_check,8.881784197001252e-16,
distinct_points_100,distinct_scale,1,PASS,observations,100,100,200,200,4583.566799999971,5139.371100000062,POLYGON,6,6.600144525468327,3.3000722627341634,4.1602334000213235,0.86016113728716,False,scipy_highs_with_fraction_check,0.0,
distinct_points_200,distinct_scale,1,TIMEOUT,observations,200,200,400,,,30312.729900000704,TIMEOUT,,,,,,,,,含进程启动/校核的单案例墙钟时间超过30秒；求解耗时未知
distinct_points_500,distinct_scale,1,TIMEOUT,observations,500,500,1000,,,30708.91219999976,TIMEOUT,,,,,,,,,含进程启动/校核的单案例墙钟时间超过30秒；求解耗时未知
repeated_observations_1000,duplicate_scale,1,PASS,observations,1000,2,2000,4,13.337399999727495,590.4181000005337,POLYGON,4,39.50834065898743,19.754170329493714,19.754170329493714,0.0,True,scipy_highs_with_fraction_check,1.7763568394002505e-15,
repeated_observations_10000,duplicate_scale,1,PASS,observations,10000,2,20000,4,61.11670000063896,654.1885999995429,POLYGON,4,39.50834065898743,19.754170329493714,19.754170329493714,0.0,True,scipy_highs_with_fraction_check,1.7763568394002505e-15,
